Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Log in,FIFTY FIFTY,The Beginning,2023,231291,4,0.871,0.595,2,-7.584,1,0.189,0.165,0.00000473,0.379,0.369,132.042,28
Lovin' Me,FIFTY FIFTY,The Beginning,2023,189809,4,0.459,0.543,8,-8.763,1,0.408,0.637,0.0000308,0.0886,0.556,170.881,44
Bebe Dame,Fuerza Regida,Bebe Dame,2022,271861,4,0.537,0.602,7,-4.631,1,0.0458,0.296,0,0.0715,0.753,157.437,71
CRAZYZ,Fuerza Regida,Pa las Baby's Y Belikeada,2023,204815,3,0.809,0.849,4,-6.769,0,0.0738,0.251,0.0000736,0.325,0.753,126,79
NEL,Fuerza Regida,PERO NO TE ENAMORES,2022,149073,4,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,84
Radicamos En South Central,Fuerza Regida,Jimmy Humilde Presenta Lo Mejor De Las Calles Vol.3,2023,228853,1,0.748,0.739,7,-1.972,1,0.0381,0.461,0.0000047,0.0834,0.962,115.966,62
Sigo Chambeando,Fuerza Regida,Jimmy Humilde Presenta Lo Mejor De Las Calles Vol. 4,2023,200161,3,0.819,0.48,5,-6.966,1,0.0489,0.685,0.00000203,0.116,0.759,114.04,63
NO SE VA - EN VIVO,Grupo Frontera,El Comienzo,2023,193816,4,0.57,0.71,0,-4.526,1,0.0304,0.0898,0,0.292,0.752,172.719,78
QUE VUELVAS,Grupo Frontera,El Comienzo,2023,169418,4,0.497,0.644,10,-4.309,1,0.0443,0.188,0,0.114,0.779,162.542,81
un x100to,Grupo Frontera,El Comienzo,2023,194563,4,0.571,0.72,9,-4.089,1,0.0458,0.213,0,0.271,0.542,83.827,79
Baby Birkin,Gunna,Drip or Drown 2,2021,181948,4,0.848,0.649,2,-6.083,1,0.315,0.232,0,0.101,0.629,118.04,57
